case,seed,generation,evaluations,hypervolume,normalized_hypervolume,reference_objective_1,reference_objective_2
C037,83,39,1404,1044.3329840847734,0.6177017261196536,0.423942885276629,3987.9786881590203
C037,83,40,1440,1044.3329840847734,0.6177017261196536,0.423942885276629,3987.9786881590203
C037,83,41,1476,1044.3424825372454,0.6177073442611628,0.423942885276629,3987.9786881590203
C037,83,42,1512,1044.3424825372454,0.6177073442611628,0.423942885276629,3987.9786881590203
C037,83,43,1548,1044.3424825372454,0.6177073442611628,0.423942885276629,3987.9786881590203
C037,83,44,1584,1046.3706203475238,0.618906946538702,0.423942885276629,3987.9786881590203
C037,83,45,1620,1046.3706203475238,0.618906946538702,0.423942885276629,3987.9786881590203
C037,83,46,1656,1046.3773906797826,0.618910951052575,0.423942885276629,3987.9786881590203
C037,83,47,1692,1046.476984887453,0.6189698590014066,0.423942885276629,3987.9786881590203
C037,83,48,1728,1046.5332954711441,0.6190031655667213,0.423942885276629,3987.9786881590203
C037,83,49,1764,1046.5259763188424,0.618998836436952,0.423942885276629,3987.9786881590203
C037,83,50,1800,1046.5259763188424,0.618998836436952,0.423942885276629,3987.9786881590203
C037,83,51,1836,1046.714240042641,0.6191101906016947,0.423942885276629,3987.9786881590203
C037,83,52,1872,1046.714240042641,0.6191101906016947,0.423942885276629,3987.9786881590203
C037,83,53,1908,1046.714240042641,0.6191101906016947,0.423942885276629,3987.9786881590203
C037,83,54,1944,1046.7716421299856,0.6191441427692275,0.423942885276629,3987.9786881590203
C037,83,55,1980,1046.780038571051,0.6191491090933965,0.423942885276629,3987.9786881590203
C037,83,56,2016,1046.7749764921646,0.6191461149766603,0.423942885276629,3987.9786881590203
C038,3,1,36,0.10533102244560637,0.33307564548214774,0.423942885276629,0.7459437344871997
C038,3,2,72,0.10535837056773668,0.33316212516514887,0.423942885276629,0.7459437344871997
C038,3,3,108,0.10538632317714583,0.33325051634569275,0.423942885276629,0.7459437344871997
C038,3,4,144,0.1054085522100526,0.3333208085474768,0.423942885276629,0.7459437344871997
C038,3,5,180,0.10545816136661926,0.3334776816268566,0.423942885276629,0.7459437344871997
C038,3,6,216,0.10590282648142994,0.3348837927297413,0.423942885276629,0.7459437344871997
C038,3,7,252,0.10591280695758655,0.3349153527911638,0.423942885276629,0.7459437344871997
C038,3,8,288,0.10591854969519286,0.334933512360782,0.423942885276629,0.7459437344871997
C038,3,9,324,0.10620250738707705,0.3358314376758314,0.423942885276629,0.7459437344871997
C038,3,10,360,0.10620274722481184,0.3358321960859035,0.423942885276629,0.7459437344871997
C038,3,11,396,0.10620889915133817,0.3358516495845133,0.423942885276629,0.7459437344871997
C038,3,12,432,0.10621205017336195,0.3358616136831248,0.423942885276629,0.7459437344871997
C038,3,13,468,0.10629156380394807,0.3361130500901508,0.423942885276629,0.7459437344871997
C038,3,14,504,0.10630160760417014,0.3361448103936624,0.423942885276629,0.7459437344871997
C038,3,15,540,0.10630454081249928,0.33615408572617966,0.423942885276629,0.7459437344871997
C038,3,16,576,0.10630454081249928,0.33615408572617966,0.423942885276629,0.7459437344871997
C038,3,17,612,0.10630611985582057,0.3361590789452833,0.423942885276629,0.7459437344871997
C038,3,18,648,0.10630908256033252,0.3361684475500379,0.423942885276629,0.7459437344871997
C038,3,19,684,0.10630908256033252,0.3361684475500379,0.423942885276629,0.7459437344871997
C038,3,20,720,0.10644649229850255,0.33660296186665484,0.423942885276629,0.7459437344871997
C038,3,21,756,0.10644649229850255,0.33660296186665484,0.423942885276629,0.7459437344871997
C038,3,22,792,0.10648900597113996,0.3367373977491398,0.423942885276629,0.7459437344871997
C038,3,23,828,0.10649245163586733,0.336748293560996,0.423942885276629,0.7459437344871997
C038,3,24,864,0.10649245163586733,0.336748293560996,0.423942885276629,0.7459437344871997
C038,3,25,900,0.10661019832035394,0.337120629763837,0.423942885276629,0.7459437344871997
C038,3,26,936,0.10661413521784778,0.33713307894208966,0.423942885276629,0.7459437344871997
C038,3,27,972,0.10673481217459117,0.33751468119305883,0.423942885276629,0.7459437344871997
C038,3,28,1008,0.10673481217459117,0.33751468119305883,0.423942885276629,0.7459437344871997
C038,3,29,1044,0.10673844642927603,0.33752617336029406,0.423942885276629,0.7459437344871997
C038,3,30,1080,0.10673844642927603,0.33752617336029406,0.423942885276629,0.7459437344871997
C038,3,31,1116,0.10674315722374093,0.3375410697400187,0.423942885276629,0.7459437344871997
